date,content,region,importance,Epidemic_Policy,Economic_Policy,weight,type1,type2,comment,global
2020-03-28,阿根廷政府下令全面关闭边境,阿根廷,3,1,0,0.5,隔离,边境限制,,0
2020-03-14,奥地利扩大封闭隔离范围，维也纳加紧建设首座方舱医院,奥地利,3,1,0,0.5,隔离,公共场所限制,,0
2020-03-15,奥地利推出严格公共场所限制措施：禁止5人以上集会，关闭餐厅,奥地利,3,1,0,0.5,隔离,公共场所限制,,0
2020-03-19,奥地利禁止做空股票,奥地利,3,0,1,0.5,经济,禁止做空,,0
2020-02-27,澳大利亚启动应急计划“抗疫”,澳大利亚,3,1,0,0.5,隔离,政府应急响应,,0
2020-03-13,世界一级方程式锦标赛墨尔本站比赛宣布取消,澳大利亚,3,1,0,0.5,隔离,体育赛事取消或延期,,0
2020-03-19,澳大利亚总理莫里森称，政府将在未来几天宣布经济措施。将从周五开始禁止所有非澳大利亚人入境,澳大利亚,3,0,1,0.5,隔离,边境限制,,0
2020-03-19,澳洲联储：预期现金利率将保持在当前水平几年的时间,澳大利亚,3,0,1,0.5,经济,利率调整,,0
2020-03-23,加拿大、澳大利亚宣布退出今夏奥运会,澳大利亚,3,1,0,0.5,隔离,体育赛事取消或延期,,0
2020-03-25,澳大利亚第二大航空公司停飞90%国内航线,澳大利亚,3,1,0,0.5,隔离,出行限制,,0
2020-03-29,澳大利亚宣布公共场合聚集不得超过2人,澳大利亚,3,1,0,0.5,隔离,公共场所限制,,0
2020-03-14,巴西总统新冠病毒检测结果：阴性！,巴西,3,1,0,0.5,隔离,总统病毒检测,,0
2020-03-20,巴西进入公共灾难状态,巴西,3,1,0,0.5,隔离,政府应急响应,,0
2020-03-18,比利时首相宣布全国封城 同时也暂停该国体育赛事,比利时,3,1,0,0.5,隔离,体育赛事取消或延期,,0
2020-03-13,德国确诊病例超3千，多州下周起关闭学校,德国,3,1,0,0.5,隔离,公共场所限制,,0
2020-03-13,德国职业联盟宣布原定本周末空场进行的德甲第26轮与德乙第26轮比赛全部推迟进行,德国,3,1,0,0.5,隔离,体育赛事取消或延期,,0
2020-03-14,德国全境16个联邦州决定各级学校停课,德国,3,1,0,0.5,隔离,公共场所限制,,0
2020-03-15,德国紧急关闭与法国、奥地利和瑞士的边境,德国,3,1,0,0.5,隔离,边境限制,,0
2020-03-16,德国宣布防疫新措施：关闭不必要的商店及娱乐场所,德国,3,1,0,0.5,隔离,公共场所限制,,0
2020-03-19,德国将旅行限制扩大到现在还包括乘坐飞机、轮船来减缓冠状病毒的传播,德国,3,1,0,0.5,隔离,出行限制,,0
2020-03-21,德国政府正考虑发行约3500亿欧元新债券 为经济刺激措施提供资金,德国,3,0,1,0.5,经济,发债,,0
2020-03-21,德国内阁将于23号计划启动一项金额达1500亿欧元的补充预算，用于满足下周末启动的针对疫情的快速援助计划。,德国,3,0,1,0.5,经济,财政刺激政策,,0
2020-03-23,德国出台疫情防控新举措 不可在公共场所、公寓等举行聚集活动,德国,3,1,0,0.5,隔离,公共场所限制,,0
2020-03-25,德国议会授予政府紧急状态权利 允许无限制发债,德国,3,0,1,0.5,经济,发债,,0
